1,56,4,2,1,1,1,2,6,1,261,1,999,0,2,1.1,93.994,-36.4,4.857,5191,0
2,57,8,2,4,1,1,2,6,1,149,1,999,0,2,1.1,93.994,-36.4,4.857,5191,0
3,40,1,2,2,1,1,2,6,1,151,1,999,0,2,1.1,93.994,-36.4,4.857,5191,0
4,56,8,2,4,1,3,2,6,1,307,1,999,0,2,1.1,93.994,-36.4,4.857,5191,0
5,45,8,2,3,1,1,2,6,1,198,1,999,0,2,1.1,93.994,-36.4,4.857,5191,0
6,59,1,2,6,1,1,2,6,1,139,1,999,0,2,1.1,93.994,-36.4,4.857,5191,0
7,41,2,2,8,1,1,2,6,1,217,1,999,0,2,1.1,93.994,-36.4,4.857,5191,0
8,24,10,3,6,3,1,2,6,1,380,1,999,0,2,1.1,93.994,-36.4,4.857,5191,0
9,25,8,3,4,3,1,2,6,1,50,1,999,0,2,1.1,93.994,-36.4,4.857,5191,0
10,41,2,2,8,1,1,2,6,1,55,1,999,0,2,1.1,93.994,-36.4,4.857,5191,0
11,25,8,3,4,3,1,2,6,1,222,1,999,0,2,1.1,93.994,-36.4,4.857,5191,0
12,29,2,3,4,1,3,2,6,1,137,1,999,0,2,1.1,93.994,-36.4,4.857,5191,0
13,57,4,1,1,3,1,2,6,1,293,1,999,0,2,1.1,93.994,-36.4,4.857,5191,0
14,54,6,2,3,3,3,2,6,1,174,1,999,0,2,1.1,93.994,-36.4,4.857,5191,0
15,35,2,2,2,3,1,2,6,1,312,1,999,0,2,1.1,93.994,-36.4,4.857,5191,0
16,46,2,2,2,3,3,2,6,1,440,1,999,0,2,1.1,93.994,-36.4,4.857,5191,0
17,50,2,2,3,3,3,2,6,1,353,1,999,0,2,1.1,93.994,-36.4,4.857,5191,0
18,39,5,3,3,1,1,2,6,1,195,1,999,0,2,1.1,93.994,-36.4,4.857,5191,0
19,30,11,2,4,1,1,2,6,1,38,1,999,0,2,1.1,93.994,-36.4,4.857,5191,0
20,55,2,2,1,3,1,2,6,1,262,1,999,0,2,1.1,93.994,-36.4,4.857,5191,0
21,55,6,3,4,3,1,2,6,1,342,1,999,0,2,1.1,93.994,-36.4,4.857,5191,0
22,41,10,3,4,3,1,2,6,1,181,1,999,0,2,1.1,93.994,-36.4,4.857,5191,0
23,37,1,2,4,3,1,2,6,1,172,1,999,0,2,1.1,93.994,-36.4,4.857,5191,0
24,35,10,2,7,1,3,2,6,1,99,1,999,0,2,1.1,93.994,-36.4,4.857,5191,0
25,59,10,2,8,3,1,2,6,1,93,1,999,0,2,1.1,93.994,-36.4,4.857,5191,0
26,39,7,2,3,1,1,2,6,1,233,1,999,0,2,1.1,93.994,-36.4,4.857,5191,0
27,54,10,3,7,1,1,2,6,1,255,2,999,0,2,1.1,93.994,-36.4,4.857,5191,0
28,55,12,2,7,2,2,2,6,1,362,1,999,0,2,1.1,93.994,-36.4,4.857,5191,0
29,46,1,2,8,1,1,2,6,1,348,1,999,0,2,1.1,93.994,-36.4,4.857,5191,0
30,59,10,2,8,3,1,2,6,1,386,1,999,0,2,1.1,93.994,-36.4,4.857,5191,0
31,49,2,2,8,1,1,2,6,1,73,1,999,0,2,1.1,93.994,-36.4,4.857,5191,0
